model_version,score,release_date,organization,benchmark,stderr,source,category
o3-2025-04-16_high,0.486,2025-04-16,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o3-2025-04-16_medium,0.494,2025-04-16,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o3-2025-04-16_low,0.494,2025-04-16,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o4-mini-2025-04-16_high,0.193,2025-04-16,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o4-mini-2025-04-16_medium,0.202,2025-04-16,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o4-mini-2025-04-16_low,0.202,2025-04-16,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o3-mini-2025-01-31_high,0.138,2025-01-31,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o3-mini-2025-01-31_medium,0.134,2025-01-31,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o3-mini-2025-01-31_low,0.130,2025-01-31,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o1-2024-12-17_medium,0.426,2024-12-17,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o1-preview-2024-09-12,0.424,2024-09-12,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
o1-mini-2024-09-12_unknown,0.076,2024-09-12,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
gpt-4.1-2025-04-14,0.416,2025-04-14,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
gpt-4.1-mini-2025-04-14,0.168,2025-04-14,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
gpt-4.1-nano-2025-04-14,0.076,2025-04-14,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
gpt-4o-2024-11-20,0.388,2024-11-20,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
gpt-4o-2024-08-06,0.401,2024-08-06,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
gpt-4o-2024-05-13,0.390,2024-05-13,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
gpt-4o-mini-2024-07-18,0.095,2024-07-18,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
gpt-4.5-preview-2025-02-27,0.625,2025-02-27,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
gpt-4-turbo-2024-04-09,0.242,2024-04-09,OpenAI,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
claude-3-5-sonnet-20240620,0.289,2024-06-20,Anthropic,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
claude-3-opus-20240229,0.235,2024-02-29,Anthropic,SimpleQA,,https://github.com/openai/simple-evals/blob/main/README.md,Domain Specific Questions
claude-3-haiku-20240307,0.051,2024-03-07,Anthropic,SimpleQA,,https://arxiv.org/abs/2411.04368 (Table 3),Domain Specific Questions
claude-3-sonnet-20240229,0.057,2024-02-29,Anthropic,SimpleQA,,https://arxiv.org/abs/2411.04368 (Table 3),Domain Specific Questions
