arm1_seed1001,arm1_seed1002,arm2_basinA,arm2_basinB
0.0010227780695696099,0.0028967999360483615,0.007512012692949839,0.03460333043476084
0.0012142108326094272,5.46040063462145e-05,3.849412889516281e-05,0.001490870818027229
0.00025247178637271335,0.03277287510807568,0.0026126547150211034,0.04706938232098851
0.0007663263086499152,0.0002612036233307471,2.029932267392335e-05,1.7643546758106645e-05
1.936618674586666e-09,1.544099790118801e-17,0.0010309420424824492,0.0016667196318028389
0.022077551849377302,0.002167935204281965,0.004458674943572933,0.0019181621291621729
0.0003232639975879237,1.383714721706698e-06,0.0028307817575995713,0.04093838258198418
0.01159870725423769,0.002389018828547463,0.02036651649258275,0.010003238272674764
0.009336178156444585,0.006104358924937612,0.0022367171499764154,0.024438943867043587
0.006731800489421381,0.00574760021273292,0.0140303157150557,0.0007399012083147183
0.003818821025216272,0.012917825930091522,0.0318131633770572,0.024020633087971727
0.007398867799090326,0.01095584039373754,0.0016090488909708237,0.005726999033360539
0.0007712525713623891,6.965391317959274e-06,0.00018959390146710154,2.519927497654149e-10
0.0009803893019526087,0.004520794859866571,0.008408359728099774,0.02880757406742923
0.043485944433534075,0.027181450821303778,0.0031708876575020626,0.03216711648113226
7.745408778322194e-06,0.01883461772756616,5.048101283576223e-07,0.0026295926321286095
0.00931959686646597,0.001883691447437336,0.0034632126661060776,0.001072224429703318
0.0015169570494408052,0.001089077960114242,0.0070542513953887566,0.004461392237508786
0.003932211263855348,0.009273650080252438,0.037854374638437556,0.00952186666730256
0.01647720777270381,0.007201874510750186,0.019740332146933347,0.013677041536871016
0.003437518235341197,0.009472722954947214,0.015223880743082587,8.04206511060857e-05
0.012903913619846349,0.0040989270210666845,4.825851083056259e-05,0.00019625372497949513
0.00016222320119933548,1.5695510170614743e-06,0.00010140436961604703,4.4482728110058504e-06
1.0014337834917436e-06,0.013667507479851036,5.451823519417608e-05,2.373897659279107e-08
0.000918565359569922,1.0249019572506882e-07,0.00033291220749022334,0.0009958546715541897
0.00104039522925177,3.21132075348242e-05,0.01946745540884979,8.740342699905672e-05
0.00811749677725017,0.0008033456335067498,0.0025836649240850596,0.02904976099422367
4.0807595528508215e-06,1.559376842811935e-07,4.353263211715271e-05,0.000580130566453202
0.0023523772839526987,0.0004773639669188244,0.01628096223926776,0.00428674178434267
0.046523766766804434,0.006526678149825281,0.011288846655404696,0.02879701077833391
0.004198983524291203,0.008293724273369418,0.003558123743818646,6.39424957820701e-05
0.0019303757946885422,0.01963333376611053,0.00045341412725781504,2.7855411999833796e-05
0.0090852663743297,0.011445459353516407,0.013326502381615996,0.05610378945772455
0.002011510160226767,0.00042237199448642886,0.009064328268128316,1.9384682998755242e-06
0.008843506660726488,0.008517720944326575,0.006315055222393036,0.014272631698872879
0.00586501834827581,0.009555548677505517,0.0022515195260387915,0.006115284571243618
0.0028717277323955744,0.0015030483563205246,0.0002945514104174493,0.0002067840417107235
0.004796224925279683,0.007830729388129332,0.00014148272011663693,0.007385862864444415
0.0016394540291388786,2.686718678723378e-07,0.00224491984059857,3.1702438107352726e-05
0.0005212041139658778,1.1229836893058863e-05,0.0014556937869260086,0.0025079730359187967
1.5592738428418738e-19,3.8127083062008764e-05,7.377319036016492e-11,1.0702514627989416e-07
0.0007606123927502058,1.592385647297618e-07,1.6302914903643944e-12,4.503980548838102e-05
2.719326326400892e-09,0.00012195677247205593,6.263881640694165e-11,4.0982464822115766e-09
3.231822236312947e-05,0.002603779848966945,0.0007577252741734199,0.005251877805373621
0.000921508992266956,0.005892572423442061,0.005507950681983971,0.0044714033636888886
0.015328335240613458,0.0116162239767571,0.011442610271732259,0.0008220348269585935
0.00355835464164809,0.003647694024288172,0.00014701742612517138,0.004201947502304123
0.0007954687882158977,0.0036525219712125645,0.00466353307013852,2.3597511948191184e-05
0.001705849978712177,0.003100086917789337,0.00821575502388747,0.0010582145401224633
