benchmark,pair,category,gamma_median,hdi_low,hdi_high,verdict
VPCT,ReasoningxAgentic,Multimodal Understanding,0.33195242258781865,0.08396045495943409,0.5861929228809918,conjunctive
VPCT,KnowledgexAgentic,Multimodal Understanding,0.22837166554962515,-0.19576078545265124,0.4859638595333272,~compensatory
Remote Labor Index,ReasoningxKnowledge,Core AGI Progress,0.18369304851166432,-0.2758936543939754,0.41449760204632735,~compensatory
Chess Puzzles,KnowledgexAgentic,General Reasoning,0.17723029177643287,-0.11875164174104655,0.44277501560360316,~compensatory
Chess Puzzles,ReasoningxAgentic,General Reasoning,0.15761220916340019,-0.097436424268749,0.4381091962435166,~compensatory
BALROG,ReasoningxAgentic,General Reasoning,0.14927346928465957,-0.0728422028129012,0.4093617751461578,~compensatory
Cybench,ReasoningxKnowledge,Agentic Computer Use,0.14442957682838498,-0.14700781553839057,0.38574545203798455,~compensatory
Fiction.LiveBench,KnowledgexAgentic,Advanced Language and Writing,0.14238490142235583,-0.14732278358394124,0.4285513135728606,~compensatory
MultiChallenge,ReasoningxAgentic,Advanced Language and Writing,0.11827319872384687,-0.14349589109956687,0.3841025815259122,~compensatory
LAMBADA,ReasoningxKnowledge,General Reasoning,0.1139929858114791,-0.3168054447856551,0.3747183825556067,~compensatory
Fiction.LiveBench,ReasoningxAgentic,Advanced Language and Writing,0.11355177087135457,-0.17518708147535483,0.39834145570212004,~compensatory
APEX Agents,ReasoningxAgentic,Core AGI Progress,0.10863786119066723,-0.12799337882159906,0.3658894385245741,~compensatory
VPCT,ReasoningxKnowledge,Multimodal Understanding,0.10838203041570305,-0.1692874977587013,0.3332025467873226,~compensatory
SimpleQA Verified,KnowledgexAgentic,Domain Specific Questions,0.10773183115652352,-0.19998237904515206,0.34221073117823414,~compensatory
Chess Puzzles,ReasoningxKnowledge,General Reasoning,0.10709439372326743,-0.08660440929275211,0.3093710683760374,~compensatory
FrontierMath Tier 4,ReasoningxKnowledge,High End Math Reasoning,0.10354296139881106,-0.1347740436392781,0.36972980971678804,~compensatory
SimpleBench,KnowledgexAgentic,General Reasoning,0.1029615762851476,-0.18380006042407787,0.27732142503991986,~compensatory
GPQA Diamond Chemistry,ReasoningxAgentic,Chemistry,0.09156477178144226,-0.0999690751626622,0.2609560751090256,~compensatory
MultiChallenge,KnowledgexAgentic,Advanced Language and Writing,0.09112654651910562,-0.23546263859308936,0.36106820415918106,~compensatory
ScienceQA,KnowledgexAgentic,Domain Specific Questions,0.0905829052223051,-0.21127960903541063,0.3362633493101863,~compensatory
Humanity's Last Exam,KnowledgexAgentic,Domain Specific Questions,0.08278033254757937,-0.13691433195616337,0.2873894688661648,~compensatory
Fiction.LiveBench,ReasoningxKnowledge,Advanced Language and Writing,0.07978824594982271,-0.19048586877033133,0.34059911198933723,~compensatory
GSM8K,ReasoningxKnowledge,Domain Specific Questions,0.07357138983819438,-0.2965630558244542,0.37613701234483754,~compensatory
EnigmaEval,ReasoningxAgentic,General Reasoning,0.07137009158918493,-0.14884663117361854,0.3106161515126565,~compensatory
TriviaQA,ReasoningxAgentic,Domain Specific Questions,0.07116432377982164,-0.3770456485034041,0.2622353580099592,~compensatory
GeoBench,ReasoningxKnowledge,Multimodal Understanding,0.06964612811958362,-0.28438669516275755,0.3128508511677463,~compensatory
SWE-Bench Pro,ReasoningxAgentic,Autonomous SWE,0.06460649412307362,-0.21432323647615667,0.3335178888861361,~compensatory
MMLU,ReasoningxKnowledge,Domain Specific Questions,0.06447121040765444,-0.034567724309346626,0.17766650197723782,~compensatory
OpenBookQA,ReasoningxKnowledge,Domain Specific Questions,0.057566249294367815,-0.279913541918097,0.3321021187917064,~compensatory
HellaSwag,ReasoningxKnowledge,General Reasoning,0.05428991093928016,-0.2831112437139916,0.26806232400458846,~compensatory
MCP Atlas,KnowledgexAgentic,Agentic Computer Use,0.05302869220682442,-0.19944419531785487,0.2989212495243033,~compensatory
TerminalBench,ReasoningxAgentic,Agentic Computer Use,0.05213854882773432,-0.18568466487660287,0.3124272238282251,~compensatory
TriviaQA,ReasoningxKnowledge,Domain Specific Questions,0.05074087701090356,-0.31604083716608183,0.2527412443905928,~compensatory
LAMBADA,KnowledgexAgentic,General Reasoning,0.050146102893387834,-0.30164218152563116,0.26493358237023795,~compensatory
VisualToolBench,KnowledgexAgentic,Multimodal Understanding,0.050103334726342694,-0.19812010482094689,0.3250814538188492,~compensatory
PIQA,ReasoningxKnowledge,General Reasoning,0.04982976275254669,-0.11149348101877996,0.14335698826057275,~compensatory
LAB-Bench SeqQA,ReasoningxAgentic,Biology,0.04356106103722819,-0.1534981245242624,0.2329953651029283,~compensatory
FrontierMath Tier 4,KnowledgexAgentic,High End Math Reasoning,0.04300555049451667,-0.28302511057595753,0.320067596545744,~compensatory
GSM8K,KnowledgexAgentic,Domain Specific Questions,0.0419030662563382,-0.26612292578238833,0.31411606732817066,~compensatory
SEAL Instruction Following,ReasoningxAgentic,Advanced Language and Writing,0.041165897988279555,-0.21037453235378836,0.3001092529345564,~compensatory
OTIS Mock AIME 2024-2025,ReasoningxKnowledge,High End Math Reasoning,0.040338211220729794,-0.19193072788075285,0.22617719127298014,~compensatory
TerminalBench,ReasoningxKnowledge,Agentic Computer Use,0.03759716992765196,-0.1727912194934708,0.22856229142076373,~compensatory
GPQA Diamond Chemistry,ReasoningxKnowledge,Chemistry,0.03746029955469769,-0.2872876398147796,0.22898643911996738,~compensatory
OS World (Screenshot),ReasoningxKnowledge,Agentic Computer Use,0.03606566435569427,-0.23316861296405555,0.32369039850040765,~compensatory
AudioMultiChallenge,ReasoningxKnowledge,Multimodal Understanding,0.03386865532671017,-0.21236470631766713,0.26394241243743594,~compensatory
Aider Polyglot,ReasoningxAgentic,Autonomous SWE,0.03363148325747035,-0.19685975012811735,0.28828634936926545,~compensatory
