benchmark,category,model,is_human,score,lower_bound,gap_below_floor,release_date
VPCT,Multimodal Understanding,gemini-2.5-flash-lite-preview-09-2025,False,0.3,0.5,0.2,2025-09-25
VPCT,Multimodal Understanding,claude-sonnet-4-20250514,False,0.3,0.5,0.2,2025-05-22
GPQA Diamond Chemistry,Chemistry,Mistral-7B-Instruct-v0.2,False,0.054,0.25,0.196,nan
GPQA Main Chemistry,Chemistry,Mistral-7B-Instruct-v0.2,False,0.055,0.25,0.195,nan
VPCT,Multimodal Understanding,claude-3-5-sonnet-20241022,False,0.33,0.5,0.17,2024-10-22
VPCT,Multimodal Understanding,claude-opus-4-1-20250805_16K,False,0.33,0.5,0.17,2025-08-05
VPCT,Multimodal Understanding,claude-3-5-sonnet-20240620,False,0.33,0.5,0.17,2024-06-20
VPCT,Multimodal Understanding,claude-opus-4-20250514,False,0.33,0.5,0.17,2025-05-22
VPCT,Multimodal Understanding,gpt-4o-mini-2024-07-18,False,0.34,0.5,0.16,2024-07-18
VPCT,Multimodal Understanding,claude-sonnet-4-20250514_32K,False,0.34,0.5,0.16,2025-05-22
VPCT,Multimodal Understanding,claude-opus-4-1-20250805,False,0.35,0.5,0.15,2025-08-05
VPCT,Multimodal Understanding,claude-3-7-sonnet-20250219_64K,False,0.35,0.5,0.15,2025-02-24
VPCT,Multimodal Understanding,gpt-5-nano-2025-08-07_medium,False,0.354,0.5,0.146,2025-08-07
VPCT,Multimodal Understanding,o1-2024-12-17_medium,False,0.37,0.5,0.13,2024-12-17
VPCT,Multimodal Understanding,gpt-5-nano-2025-08-07_high,False,0.372,0.5,0.128,2025-08-07
VPCT,Multimodal Understanding,claude-opus-4-20250514_16K,False,0.38,0.5,0.12,2025-05-22
VPCT,Multimodal Understanding,claude-sonnet-4-5-20250929,False,0.38,0.5,0.12,2025-09-29
VPCT,Multimodal Understanding,gemini-2.5-flash-preview-04-17,False,0.38,0.5,0.12,2025-04-17
GPQA Diamond,Domain Specific Questions,open-mistral-7b,False,0.132260101010101,0.25,0.1177,2023-09-27
VPCT,Multimodal Understanding,claude-3-7-sonnet-20250219,False,0.39,0.5,0.11,2025-02-24
VPCT,Multimodal Understanding,gpt-5-mini-2025-08-07_high,False,0.39,0.5,0.11,2025-08-07
GPQA Diamond,Domain Specific Questions,Yi-34B-Chat,False,0.1474116161616161,0.25,0.1026,2023-11-22
VPCT,Multimodal Understanding,claude-sonnet-4-5-20250929_32K,False,0.398,0.5,0.102,2025-09-29
VPCT,Multimodal Understanding,gpt-4o-2024-11-20,False,0.4,0.5,0.1,2024-11-20
VPCT,Multimodal Understanding,claude-opus-4-5-20251101_32K,False,0.4,0.5,0.1,2025-11-24
GPQA Diamond,Domain Specific Questions,Mistral-7B-Instruct-v0.3,False,0.1518308080808081,0.25,0.0982,2024-05-27
VPCT,Multimodal Understanding,gpt-5-mini-2025-08-07_medium,False,0.402,0.5,0.098,2025-08-07
VPCT,Multimodal Understanding,gemini-2.5-pro-preview-05-06,False,0.405,0.5,0.095,2025-05-06
VPCT,Multimodal Understanding,gemini-robotics-er-1.5-preview,False,0.408,0.5,0.092,2025-09-26
LAB-Bench Cloning,Biology,gemini-1.0-pro-001,False,0.121,0.2,0.079,nan
VPCT,Multimodal Understanding,gpt-4.5-preview-2025-02-27,False,0.45,0.5,0.05,2025-02-27
BoolQ,General Reasoning,text-babbage-001,False,0.451,0.5,0.049,nan
LAB-Bench Cloning,Biology,Mixtral-8x7B-Instruct-v0.1,False,0.152,0.2,0.048,nan
LAB-Bench Cloning,Biology,claude-3-haiku-20240307,False,0.152,0.2,0.048,nan
LAB-Bench Cloning,Biology,claude-3-sonnet-20240229,False,0.152,0.2,0.048,nan
